Tree,age,circumference
1,118.0,30.0
1,484.0,58.0
1,664.0,87.0
1,1004.0,115.0
1,1231.0,120.0
1,1372.0,142.0
1,1582.0,145.0
2,118.0,33.0
2,484.0,69.0
2,664.0,111.0
2,1004.0,156.0
2,1231.0,172.0
2,1372.0,203.0
2,1582.0,203.0
3,118.0,30.0
3,484.0,51.0
3,664.0,75.0
3,1004.0,108.0
3,1231.0,115.0
3,1372.0,139.0
3,1582.0,140.0
4,118.0,32.0
4,484.0,62.0
4,664.0,112.0
4,1004.0,167.0
4,1231.0,179.0
4,1372.0,209.0
4,1582.0,214.0
5,118.0,30.0
5,484.0,49.0
5,664.0,81.0
5,1004.0,125.0
5,1231.0,142.0
5,1372.0,174.0
5,1582.0,177.0
